"Batting_Team","Striker","Stadium","Runs","Dismissed","Balls","Bowling_Team","Season","Average","Strike_Rate"
"Chennai Super Kings","Shadab Jakati","MA Chidambaram Stadium",6,0,10,"All","All",Inf,60
"Chennai Super Kings","Shadab Jakati","New Wanderers Stadium",13,1,8,"All","All",13,162.5
"Chennai Super Kings","Shane Watson","Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium",50,1,32,"All","All",50,156.25
"Chennai Super Kings","Shane Watson","Dubai International Cricket Stadium",168,5,150,"All","All",33.6,112
"Chennai Super Kings","Shane Watson","Eden Gardens",42,2,32,"All","All",21,131.25
"Chennai Super Kings","Shane Watson","Feroz Shah Kotla",58,2,49,"All","All",29,118.367346938776
"Chennai Super Kings","Shane Watson","M Chinnaswamy Stadium",12,2,7,"All","All",6,171.428571428571
"Chennai Super Kings","Shane Watson","MA Chidambaram Stadium",212,9,154,"All","All",23.5555555555556,137.662337662338
"Chennai Super Kings","Shane Watson","Maharashtra Cricket Association Stadium",264,5,157,"All","All",52.8,168.152866242038
"Chennai Super Kings","Shane Watson","Punjab Cricket Association IS Bindra Stadium",18,2,20,"All","All",9,90
"Chennai Super Kings","Shane Watson","Rajiv Gandhi International Stadium",120,3,103,"All","All",40,116.504854368932
"Chennai Super Kings","Shane Watson","Sawai Mansingh Stadium",39,2,35,"All","All",19.5,111.428571428571
"Chennai Super Kings","Shane Watson","Sharjah Cricket Stadium",69,2,49,"All","All",34.5,140.816326530612
"Chennai Super Kings","Shane Watson","Wankhede Stadium",138,3,82,"All","All",46,168.292682926829
"Chennai Super Kings","Shane Watson","Zayed Cricket Stadium",62,3,48,"All","All",20.6666666666667,129.166666666667
"Chennai Super Kings","Shardul Thakur","Dubai International Cricket Stadium",2,1,3,"All","All",2,66.6666666666667
"Chennai Super Kings","Shardul Thakur","Rajiv Gandhi International Stadium",2,1,2,"All","All",2,100
"Chennai Super Kings","Shardul Thakur","Sharjah Cricket Stadium",11,1,20,"All","All",11,55
"Chennai Super Kings","Shardul Thakur","Wankhede Stadium",28,1,11,"All","All",28,254.545454545455
"Chennai Super Kings","Shardul Thakur","Zayed Cricket Stadium",3,0,2,"All","All",Inf,150
"Chennai Super Kings","Shivam Dube","Brabourne Stadium",106,2,60,"All","All",53,176.666666666667
"Chennai Super Kings","Shivam Dube","Dr DY Patil Sports Academy",143,3,84,"All","All",47.6666666666667,170.238095238095
"Chennai Super Kings","Shivam Dube","Maharashtra Cricket Association Stadium",19,1,17,"All","All",19,111.764705882353
"Chennai Super Kings","Shivam Dube","Wankhede Stadium",21,4,24,"All","All",5.25,87.5
