"Bowling_Team","Bowler","Stadium","Runs","Wickets","Balls","Season","Batting_Team","Average","Economy"
"Mumbai Indians","Rajagopal Sathish","Eden Gardens",11,1,12,"All","All",11,5.5
"Mumbai Indians","Rajagopal Sathish","MA Chidambaram Stadium",5,0,6,"All","All",Inf,5
"Mumbai Indians","Rajagopal Sathish","Punjab Cricket Association Stadium",14,0,12,"All","All",Inf,7
"Mumbai Indians","Rajagopal Sathish","Rajiv Gandhi International Stadium",12,0,12,"All","All",Inf,6
"Mumbai Indians","Rajagopal Sathish","Sawai Mansingh Stadium",5,0,7,"All","All",Inf,4.28571428571429
"Mumbai Indians","Rajagopal Sathish","Wankhede Stadium",24,0,12,"All","All",Inf,12
"Mumbai Indians","Ramandeep Singh","Wankhede Stadium",54,6,36,"All","All",9,9
"Mumbai Indians","Rasikh Salam","Wankhede Stadium",42,0,24,"All","All",Inf,10.5
"Mumbai Indians","Ray Price","Eden Gardens",33,0,18,"All","All",Inf,11
"Mumbai Indians","Riley Meredith","Brabourne Stadium",32,0,24,"All","All",Inf,8
"Mumbai Indians","Riley Meredith","Dr DY Patil Sports Academy",84,3,66,"All","All",28,7.63636363636364
"Mumbai Indians","Riley Meredith","Wankhede Stadium",120,5,78,"All","All",24,9.23076923076923
"Mumbai Indians","Rishi Dhawan","Eden Gardens",36,1,30,"All","All",36,7.2
"Mumbai Indians","Rishi Dhawan","Himachal Pradesh Cricket Association Stadium",26,1,24,"All","All",26,6.5
"Mumbai Indians","Rishi Dhawan","Sawai Mansingh Stadium",20,0,12,"All","All",Inf,10
"Mumbai Indians","Rishi Dhawan","Wankhede Stadium",27,0,24,"All","All",Inf,6.75
"Mumbai Indians","Robin Peterson","Feroz Shah Kotla",37,3,24,"All","All",12.3333333333333,9.25
"Mumbai Indians","Robin Peterson","Punjab Cricket Association Stadium",3,0,6,"All","All",Inf,3
"Mumbai Indians","Robin Peterson","Wankhede Stadium",30,0,18,"All","All",Inf,10
"Mumbai Indians","Rohan Raje","Buffalo Park",22,0,11,"All","All",Inf,12
"Mumbai Indians","Rohan Raje","Dr DY Patil Sports Academy",32,2,30,"All","All",16,6.4
"Mumbai Indians","Rohan Raje","Newlands",15,0,6,"All","All",Inf,15
"Mumbai Indians","Rohan Raje","Rajiv Gandhi International Stadium",19,0,12,"All","All",Inf,9.5
"Mumbai Indians","Rohan Raje","Sawai Mansingh Stadium",37,1,24,"All","All",37,9.25
"Mumbai Indians","Rohan Raje","SuperSport Park",35,1,24,"All","All",35,8.75
"Mumbai Indians","Rohan Raje","Wankhede Stadium",49,2,32,"All","All",24.5,9.1875
"Mumbai Indians","Rohit Sharma","Himachal Pradesh Cricket Association Stadium",1,0,2,"All","All",Inf,3
"Mumbai Indians","Rohit Sharma","MA Chidambaram Stadium",23,0,12,"All","All",Inf,11.5
"Mumbai Indians","Rohit Sharma","Punjab Cricket Association Stadium",24,0,12,"All","All",Inf,12
"Mumbai Indians","Rohit Sharma","Rajiv Gandhi International Stadium",5,0,6,"All","All",Inf,5
"Mumbai Indians","Rohit Sharma","Sharjah Cricket Stadium",20,1,12,"All","All",20,10
"Mumbai Indians","Rohit Sharma","Wankhede Stadium",37,0,18,"All","All",Inf,12.3333333333333
"Mumbai Indians","Rohit Sharma","Zayed Cricket Stadium",4,0,1,"All","All",Inf,24
"Mumbai Indians","Ryan McLaren","Brabourne Stadium",161,3,114,"All","All",53.6666666666667,8.47368421052632
"Mumbai Indians","Ryan McLaren","Dr DY Patil Sports Academy",24,0,18,"All","All",Inf,8
"Mumbai Indians","Ryan McLaren","Eden Gardens",26,0,18,"All","All",Inf,8.66666666666667
"Mumbai Indians","Ryan McLaren","M Chinnaswamy Stadium",21,1,24,"All","All",21,5.25
"Mumbai Indians","Ryan McLaren","MA Chidambaram Stadium",25,0,18,"All","All",Inf,8.33333333333333
"Mumbai Indians","Ryan McLaren","Punjab Cricket Association Stadium",13,0,12,"All","All",Inf,6.5
"Mumbai Indians","Sachin Tendulkar","Buffalo Park",19,0,6,"All","All",Inf,19
"Mumbai Indians","Sachin Tendulkar","Kingsmead",7,0,6,"All","All",Inf,7
"Mumbai Indians","Sachin Tendulkar","New Wanderers Stadium",21,0,12,"All","All",Inf,10.5
"Mumbai Indians","Sachin Tendulkar","St George's Park",11,0,12,"All","All",Inf,5.5
"Mumbai Indians","Sanath Jayasuriya","Brabourne Stadium",35,0,18,"All","All",Inf,11.6666666666667
"Mumbai Indians","Sanath Jayasuriya","Buffalo Park",13,0,6,"All","All",Inf,13
"Mumbai Indians","Sanath Jayasuriya","Dr DY Patil Sports Academy",50,0,30,"All","All",Inf,10
"Mumbai Indians","Sanath Jayasuriya","Eden Gardens",14,3,24,"All","All",4.66666666666667,3.5
"Mumbai Indians","Sanath Jayasuriya","Feroz Shah Kotla",52,2,48,"All","All",26,6.5
"Mumbai Indians","Sanath Jayasuriya","Kingsmead",37,4,30,"All","All",9.25,7.4
"Mumbai Indians","Sanath Jayasuriya","New Wanderers Stadium",20,0,12,"All","All",Inf,10
"Mumbai Indians","Sanath Jayasuriya","Newlands",34,2,24,"All","All",17,8.5
"Mumbai Indians","Sanath Jayasuriya","Rajiv Gandhi International Stadium",13,0,12,"All","All",Inf,6.5
"Mumbai Indians","Sanath Jayasuriya","Sawai Mansingh Stadium",24,0,24,"All","All",Inf,6
"Mumbai Indians","Sanath Jayasuriya","SuperSport Park",59,1,42,"All","All",59,8.42857142857143
"Mumbai Indians","Sanath Jayasuriya","Wankhede Stadium",39,1,24,"All","All",39,9.75
"Mumbai Indians","Sanjay Yadav","Wankhede Stadium",23,0,12,"All","All",Inf,11.5
"Mumbai Indians","Shaun Pollock","Dr DY Patil Sports Academy",68,3,54,"All","All",22.6666666666667,7.55555555555556
"Mumbai Indians","Shaun Pollock","Eden Gardens",27,2,24,"All","All",13.5,6.75
"Mumbai Indians","Shaun Pollock","Feroz Shah Kotla",33,0,18,"All","All",Inf,11
"Mumbai Indians","Shaun Pollock","M Chinnaswamy Stadium",23,0,24,"All","All",Inf,5.75
"Mumbai Indians","Shaun Pollock","MA Chidambaram Stadium",32,0,18,"All","All",Inf,10.6666666666667
"Mumbai Indians","Shaun Pollock","Punjab Cricket Association Stadium",40,1,24,"All","All",40,10
"Mumbai Indians","Shaun Pollock","Sawai Mansingh Stadium",26,0,24,"All","All",Inf,6.5
"Mumbai Indians","Shaun Pollock","Wankhede Stadium",52,5,90,"All","All",10.4,3.46666666666667
"Mumbai Indians","Shreyas Gopal","Punjab Cricket Association Stadium",32,2,24,"All","All",16,8
"Mumbai Indians","Shreyas Gopal","Sardar Patel Stadium",48,3,37,"All","All",16,7.78378378378378
"Mumbai Indians","Shreyas Gopal","Wankhede Stadium",74,2,54,"All","All",37,8.22222222222222
"Mumbai Indians","Siddharth Chitnis","Dr DY Patil Sports Academy",20,0,12,"All","All",Inf,10
"Mumbai Indians","Siddharth Chitnis","Wankhede Stadium",40,2,24,"All","All",20,10
"Mumbai Indians","Stuart Binny","Eden Gardens",9,0,6,"All","All",Inf,9
"Mumbai Indians","Thisara Perera","Subrata Roy Sahara Stadium",8,0,6,"All","All",Inf,8
"Mumbai Indians","Thisara Perera","Wankhede Stadium",19,0,9,"All","All",Inf,12.6666666666667
"Mumbai Indians","Tilak Varma","Brabourne Stadium",7,0,6,"All","All",Inf,7
"Mumbai Indians","Tilak Varma","Maharashtra Cricket Association Stadium",6,0,6,"All","All",Inf,6
"Mumbai Indians","Tim Southee","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",57,1,48,"All","All",57,7.125
"Mumbai Indians","Tim Southee","Eden Gardens",82,2,48,"All","All",41,10.25
"Mumbai Indians","Tim Southee","Feroz Shah Kotla",21,0,18,"All","All",Inf,7
"Mumbai Indians","Tim Southee","M Chinnaswamy Stadium",50,1,36,"All","All",50,8.33333333333333
"Mumbai Indians","Tim Southee","Maharashtra Cricket Association Stadium",69,1,48,"All","All",69,8.625
"Mumbai Indians","Tim Southee","Punjab Cricket Association IS Bindra Stadium",28,2,24,"All","All",14,7
"Mumbai Indians","Tim Southee","Rajiv Gandhi International Stadium",24,3,24,"All","All",8,6
"Mumbai Indians","Tim Southee","Wankhede Stadium",94,2,72,"All","All",47,7.83333333333333
"Mumbai Indians","Tirumalasetti Suman","Punjab Cricket Association Stadium",23,0,18,"All","All",Inf,7.66666666666667
"Mumbai Indians","Tirumalasetti Suman","Wankhede Stadium",27,0,18,"All","All",Inf,9
"Mumbai Indians","Trent Boult","Arun Jaitley Stadium",79,2,48,"All","All",39.5,9.875
"Mumbai Indians","Trent Boult","Dubai International Cricket Stadium",194,13,156,"All","All",14.9230769230769,7.46153846153846
"Mumbai Indians","Trent Boult","MA Chidambaram Stadium",144,6,110,"All","All",24,7.85454545454545
"Mumbai Indians","Trent Boult","Sharjah Cricket Stadium",94,7,96,"All","All",13.4285714285714,5.875
"Mumbai Indians","Trent Boult","Zayed Cricket Stadium",352,10,242,"All","All",35.2,8.72727272727273
"Mumbai Indians","Tymal Mills","Brabourne Stadium",80,1,36,"All","All",80,13.3333333333333
"Mumbai Indians","Tymal Mills","Dr DY Patil Sports Academy",35,3,24,"All","All",11.6666666666667,8.75
"Mumbai Indians","Tymal Mills","Maharashtra Cricket Association Stadium",75,2,42,"All","All",37.5,10.7142857142857
"Mumbai Indians","Vikrant Yeligati","MA Chidambaram Stadium",16,0,6,"All","All",Inf,16
"Mumbai Indians","Vikrant Yeligati","Wankhede Stadium",43,0,24,"All","All",Inf,10.75
"Mumbai Indians","Vinay Kumar","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",33,1,24,"All","All",33,8.25
"Mumbai Indians","Vinay Kumar","Eden Gardens",91,3,63,"All","All",30.3333333333333,8.66666666666667
"Mumbai Indians","Vinay Kumar","Green Park",17,2,18,"All","All",8.5,5.66666666666667
"Mumbai Indians","Vinay Kumar","MA Chidambaram Stadium",33,1,18,"All","All",33,11
"Mumbai Indians","Vinay Kumar","Punjab Cricket Association Stadium",17,0,18,"All","All",Inf,5.66666666666667
"Mumbai Indians","Vinay Kumar","Rajiv Gandhi International Stadium",21,0,18,"All","All",Inf,7
"Mumbai Indians","Vinay Kumar","Sardar Patel Stadium",13,1,18,"All","All",13,4.33333333333333
"Mumbai Indians","Vinay Kumar","Wankhede Stadium",238,4,156,"All","All",59.5,9.15384615384615
"Mumbai Indians","Yuzvendra Chahal","Eden Gardens",34,0,24,"All","All",Inf,8.5
"Mumbai Indians","Zaheer Khan","Brabourne Stadium",184,8,144,"All","All",23,7.66666666666667
"Mumbai Indians","Zaheer Khan","Buffalo Park",31,3,24,"All","All",10.3333333333333,7.75
"Mumbai Indians","Zaheer Khan","Dr DY Patil Sports Academy",89,4,66,"All","All",22.25,8.09090909090909
"Mumbai Indians","Zaheer Khan","Dubai International Cricket Stadium",78,4,72,"All","All",19.5,6.5
"Mumbai Indians","Zaheer Khan","Feroz Shah Kotla",20,0,12,"All","All",Inf,10
"Mumbai Indians","Zaheer Khan","Kingsmead",51,1,48,"All","All",51,6.375
"Mumbai Indians","Zaheer Khan","M Chinnaswamy Stadium",30,1,24,"All","All",30,7.5
"Mumbai Indians","Zaheer Khan","New Wanderers Stadium",12,1,12,"All","All",12,6
"Mumbai Indians","Zaheer Khan","Newlands",34,0,24,"All","All",Inf,8.5
"Mumbai Indians","Zaheer Khan","Punjab Cricket Association Stadium",36,0,20,"All","All",Inf,10.8
"Mumbai Indians","Zaheer Khan","Sawai Mansingh Stadium",17,2,24,"All","All",8.5,4.25
"Mumbai Indians","Zaheer Khan","Sharjah Cricket Stadium",17,0,17,"All","All",Inf,6
"Mumbai Indians","Zaheer Khan","Sheikh Zayed Stadium",23,1,24,"All","All",23,5.75
"Mumbai Indians","Zaheer Khan","St George's Park",14,1,18,"All","All",14,4.66666666666667
"Mumbai Indians","Zaheer Khan","Wankhede Stadium",28,0,21,"All","All",Inf,8
"Pune Warriors","Aaron Finch","M Chinnaswamy Stadium",29,0,6,"All","All",Inf,29
"Pune Warriors","Aaron Finch","MA Chidambaram Stadium",9,0,6,"All","All",Inf,9
"Pune Warriors","Aaron Finch","Wankhede Stadium",11,1,12,"All","All",11,5.5
"Pune Warriors","Abhishek Jhunjhunwala","Dr DY Patil Sports Academy",11,0,6,"All","All",Inf,11
"Pune Warriors","Abhishek Jhunjhunwala","Punjab Cricket Association Stadium",11,0,6,"All","All",Inf,11
"Pune Warriors","Abhishek Nayar","MA Chidambaram Stadium",21,1,18,"All","All",21,7
"Pune Warriors","Abhishek Nayar","Shaheed Veer Narayan Singh International Stadium",15,1,12,"All","All",15,7.5
"Pune Warriors","Abhishek Nayar","Subrata Roy Sahara Stadium",23,0,18,"All","All",Inf,7.66666666666667
"Pune Warriors","Ajantha Mendis","Punjab Cricket Association Stadium",38,1,24,"All","All",38,9.5
"Pune Warriors","Ajantha Mendis","Subrata Roy Sahara Stadium",40,1,48,"All","All",40,5
"Pune Warriors","Alfonso Thomas","Dr DY Patil Sports Academy",186,5,117,"All","All",37.2,9.53846153846154
"Pune Warriors","Alfonso Thomas","Feroz Shah Kotla",37,3,42,"All","All",12.3333333333333,5.28571428571429
"Pune Warriors","Alfonso Thomas","M Chinnaswamy Stadium",23,2,24,"All","All",11.5,5.75
"Pune Warriors","Alfonso Thomas","MA Chidambaram Stadium",29,2,24,"All","All",14.5,7.25
"Pune Warriors","Alfonso Thomas","Sawai Mansingh Stadium",28,1,24,"All","All",28,7
"Pune Warriors","Alfonso Thomas","Subrata Roy Sahara Stadium",87,0,60,"All","All",Inf,8.7
"Pune Warriors","Alfonso Thomas","Wankhede Stadium",16,1,24,"All","All",16,4
"Pune Warriors","Ali Murtaza","JSCA International Stadium Complex",34,0,24,"All","All",Inf,8.5
"Pune Warriors","Ali Murtaza","M Chinnaswamy Stadium",45,0,12,"All","All",Inf,22.5
"Pune Warriors","Ali Murtaza","Subrata Roy Sahara Stadium",26,3,36,"All","All",8.66666666666667,4.33333333333333
"Pune Warriors","Angelo Mathews","Eden Gardens",17,2,24,"All","All",8.5,4.25
"Pune Warriors","Angelo Mathews","Feroz Shah Kotla",32,0,12,"All","All",Inf,16
"Pune Warriors","Angelo Mathews","JSCA International Stadium Complex",25,0,18,"All","All",Inf,8.33333333333333
"Pune Warriors","Angelo Mathews","M Chinnaswamy Stadium",35,1,24,"All","All",35,8.75
"Pune Warriors","Angelo Mathews","MA Chidambaram Stadium",12,0,6,"All","All",Inf,12
"Pune Warriors","Angelo Mathews","Punjab Cricket Association Stadium",20,1,18,"All","All",20,6.66666666666667
"Pune Warriors","Angelo Mathews","Rajiv Gandhi International Stadium",16,0,12,"All","All",Inf,8
"Pune Warriors","Angelo Mathews","Sawai Mansingh Stadium",63,2,42,"All","All",31.5,9
"Pune Warriors","Angelo Mathews","Subrata Roy Sahara Stadium",183,6,162,"All","All",30.5,6.77777777777778
"Pune Warriors","Angelo Mathews","Wankhede Stadium",29,0,24,"All","All",Inf,7.25
"Pune Warriors","Ashish Nehra","Barabati Stadium",41,1,24,"All","All",41,10.25
"Pune Warriors","Ashish Nehra","Feroz Shah Kotla",26,0,24,"All","All",Inf,6.5
"Pune Warriors","Ashish Nehra","M Chinnaswamy Stadium",54,1,24,"All","All",54,13.5
"Pune Warriors","Ashish Nehra","MA Chidambaram Stadium",23,2,24,"All","All",11.5,5.75
"Pune Warriors","Ashish Nehra","Punjab Cricket Association Stadium",22,0,18,"All","All",Inf,7.33333333333333
"Pune Warriors","Ashish Nehra","Sawai Mansingh Stadium",23,3,24,"All","All",7.66666666666667,5.75
"Pune Warriors","Ashish Nehra","Subrata Roy Sahara Stadium",213,4,150,"All","All",53.25,8.52
"Pune Warriors","Ashok Dinda","Eden Gardens",28,0,12,"All","All",Inf,14
"Pune Warriors","Ashok Dinda","M Chinnaswamy Stadium",76,3,48,"All","All",25.3333333333333,9.5
"Pune Warriors","Ashok Dinda","MA Chidambaram Stadium",34,2,24,"All","All",17,8.5
"Pune Warriors","Ashok Dinda","Punjab Cricket Association Stadium",55,1,42,"All","All",55,7.85714285714286
"Pune Warriors","Ashok Dinda","Rajiv Gandhi International Stadium",29,2,24,"All","All",14.5,7.25
"Pune Warriors","Ashok Dinda","Shaheed Veer Narayan Singh International Stadium",31,3,24,"All","All",10.3333333333333,7.75
"Pune Warriors","Ashok Dinda","Subrata Roy Sahara Stadium",300,10,216,"All","All",30,8.33333333333333
"Pune Warriors","Ashok Dinda","Wankhede Stadium",81,4,48,"All","All",20.25,10.125
"Pune Warriors","Bhuvneshwar Kumar","Barabati Stadium",22,1,24,"All","All",22,5.5
"Pune Warriors","Bhuvneshwar Kumar","Dr DY Patil Sports Academy",29,1,30,"All","All",29,5.8
"Pune Warriors","Bhuvneshwar Kumar","Eden Gardens",26,2,24,"All","All",13,6.5
"Pune Warriors","Bhuvneshwar Kumar","JSCA International Stadium Complex",22,1,24,"All","All",22,5.5
"Pune Warriors","Bhuvneshwar Kumar","M Chinnaswamy Stadium",50,0,48,"All","All",Inf,6.25
"Pune Warriors","Bhuvneshwar Kumar","MA Chidambaram Stadium",49,2,42,"All","All",24.5,7
"Pune Warriors","Bhuvneshwar Kumar","Punjab Cricket Association Stadium",45,3,42,"All","All",15,6.42857142857143
"Pune Warriors","Bhuvneshwar Kumar","Rajiv Gandhi International Stadium",41,1,42,"All","All",41,5.85714285714286
"Pune Warriors","Bhuvneshwar Kumar","Sawai Mansingh Stadium",71,1,48,"All","All",71,8.875
"Pune Warriors","Bhuvneshwar Kumar","Shaheed Veer Narayan Singh International Stadium",30,0,24,"All","All",Inf,7.5
"Pune Warriors","Bhuvneshwar Kumar","Subrata Roy Sahara Stadium",305,12,270,"All","All",25.4166666666667,6.77777777777778
"Pune Warriors","Bhuvneshwar Kumar","Wankhede Stadium",29,0,24,"All","All",Inf,7.25
"Pune Warriors","Ishwar Pandey","JSCA International Stadium Complex",17,1,12,"All","All",17,8.5
"Pune Warriors","Ishwar Pandey","M Chinnaswamy Stadium",33,0,12,"All","All",Inf,16.5
"Pune Warriors","James Faulkner","Feroz Shah Kotla",9,1,12,"All","All",9,4.5
"Pune Warriors","Jerome Taylor","Dr DY Patil Sports Academy",61,2,48,"All","All",30.5,7.625
"Pune Warriors","Jerome Taylor","M Chinnaswamy Stadium",44,1,24,"All","All",44,11
"Pune Warriors","Jerome Taylor","MA Chidambaram Stadium",30,3,24,"All","All",10,7.5
"Pune Warriors","Jerome Taylor","Sawai Mansingh Stadium",22,0,21,"All","All",Inf,6.28571428571429
"Pune Warriors","Jesse Ryder","Dr DY Patil Sports Academy",83,4,68,"All","All",20.75,7.32352941176471
"Pune Warriors","Jesse Ryder","Feroz Shah Kotla",18,0,6,"All","All",Inf,18
"Pune Warriors","Jesse Ryder","M Chinnaswamy Stadium",20,0,12,"All","All",Inf,10
"Pune Warriors","Jesse Ryder","Punjab Cricket Association Stadium",12,0,12,"All","All",Inf,6
"Pune Warriors","Jesse Ryder","Sawai Mansingh Stadium",15,0,6,"All","All",Inf,15
"Pune Warriors","Jesse Ryder","Subrata Roy Sahara Stadium",25,1,18,"All","All",25,8.33333333333333
"Pune Warriors","Jesse Ryder","Wankhede Stadium",15,0,12,"All","All",Inf,7.5
"Pune Warriors","Kamran Khan","M Chinnaswamy Stadium",47,0,18,"All","All",Inf,15.6666666666667
"Pune Warriors","Kane Richardson","Shaheed Veer Narayan Singh International Stadium",38,0,24,"All","All",Inf,9.5
"Pune Warriors","Kane Richardson","Subrata Roy Sahara Stadium",63,2,47,"All","All",31.5,8.04255319148936
"Pune Warriors","Krishnakant Upadhyay","Sawai Mansingh Stadium",29,0,18,"All","All",Inf,9.66666666666667
"Pune Warriors","Krishnakant Upadhyay","Subrata Roy Sahara Stadium",52,0,36,"All","All",Inf,8.66666666666667
"Pune Warriors","Luke Wright","JSCA International Stadium Complex",11,0,6,"All","All",Inf,11
"Pune Warriors","Luke Wright","M Chinnaswamy Stadium",26,1,24,"All","All",26,6.5
"Pune Warriors","Luke Wright","Punjab Cricket Association Stadium",35,0,17,"All","All",Inf,12.3529411764706
"Pune Warriors","Luke Wright","Shaheed Veer Narayan Singh International Stadium",16,0,6,"All","All",Inf,16
"Pune Warriors","Luke Wright","Subrata Roy Sahara Stadium",36,1,18,"All","All",36,12
"Pune Warriors","Marlon Samuels","Barabati Stadium",33,1,18,"All","All",33,11
"Pune Warriors","Marlon Samuels","M Chinnaswamy Stadium",5,1,12,"All","All",5,2.5
"Pune Warriors","Marlon Samuels","MA Chidambaram Stadium",39,3,24,"All","All",13,9.75
"Pune Warriors","Marlon Samuels","Punjab Cricket Association Stadium",27,0,22,"All","All",Inf,7.36363636363636
"Pune Warriors","Marlon Samuels","Rajiv Gandhi International Stadium",34,1,24,"All","All",34,8.5
"Pune Warriors","Marlon Samuels","Subrata Roy Sahara Stadium",91,2,72,"All","All",45.5,7.58333333333333
"Pune Warriors","Marlon Samuels","Wankhede Stadium",21,1,24,"All","All",21,5.25
"Pune Warriors","Michael Clarke","Eden Gardens",14,0,12,"All","All",Inf,7
"Pune Warriors","Michael Clarke","Subrata Roy Sahara Stadium",53,2,54,"All","All",26.5,5.88888888888889
"Pune Warriors","Mitchell Marsh","Dr DY Patil Sports Academy",37,0,24,"All","All",Inf,9.25
"Pune Warriors","Mitchell Marsh","Feroz Shah Kotla",11,1,13,"All","All",11,5.07692307692308
"Pune Warriors","Mitchell Marsh","M Chinnaswamy Stadium",56,1,18,"All","All",56,18.6666666666667
"Pune Warriors","Mitchell Marsh","MA Chidambaram Stadium",35,2,24,"All","All",17.5,8.75
"Pune Warriors","Mitchell Marsh","Punjab Cricket Association Stadium",26,2,24,"All","All",13,6.5
"Pune Warriors","Mitchell Marsh","Rajiv Gandhi International Stadium",25,4,24,"All","All",6.25,6.25
"Pune Warriors","Mitchell Marsh","Subrata Roy Sahara Stadium",67,3,62,"All","All",22.3333333333333,6.48387096774194
"Pune Warriors","Mitchell Marsh","Wankhede Stadium",24,1,12,"All","All",24,12
"Pune Warriors","Mithun Manhas","Dr DY Patil Sports Academy",33,0,36,"All","All",Inf,5.5
"Pune Warriors","Mithun Manhas","M Chinnaswamy Stadium",9,0,6,"All","All",Inf,9
"Pune Warriors","Murali Kartik","Barabati Stadium",16,0,12,"All","All",Inf,8
"Pune Warriors","Murali Kartik","Dr DY Patil Sports Academy",67,1,53,"All","All",67,7.58490566037736
"Pune Warriors","Murali Kartik","Eden Gardens",22,1,24,"All","All",22,5.5
"Pune Warriors","Murali Kartik","Feroz Shah Kotla",25,1,18,"All","All",25,8.33333333333333
"Pune Warriors","Murali Kartik","MA Chidambaram Stadium",53,0,48,"All","All",Inf,6.625
"Pune Warriors","Murali Kartik","Sawai Mansingh Stadium",80,0,48,"All","All",Inf,10
"Pune Warriors","Murali Kartik","Subrata Roy Sahara Stadium",126,0,96,"All","All",Inf,7.875
"Pune Warriors","Murali Kartik","Wankhede Stadium",43,2,42,"All","All",21.5,6.14285714285714
"Pune Warriors","Nathan McCullum","MA Chidambaram Stadium",12,0,12,"All","All",Inf,6
"Pune Warriors","Nathan McCullum","Sawai Mansingh Stadium",22,0,18,"All","All",Inf,7.33333333333333
"Pune Warriors","Parvez Rasool","Subrata Roy Sahara Stadium",28,1,30,"All","All",28,5.6
"Pune Warriors","Rahul Sharma","Dr DY Patil Sports Academy",147,6,156,"All","All",24.5,5.65384615384615
"Pune Warriors","Rahul Sharma","Feroz Shah Kotla",24,0,18,"All","All",Inf,8
"Pune Warriors","Rahul Sharma","M Chinnaswamy Stadium",62,2,36,"All","All",31,10.3333333333333
"Pune Warriors","Rahul Sharma","MA Chidambaram Stadium",79,2,72,"All","All",39.5,6.58333333333333
"Pune Warriors","Rahul Sharma","Punjab Cricket Association Stadium",62,3,60,"All","All",20.6666666666667,6.2
"Pune Warriors","Rahul Sharma","Rajiv Gandhi International Stadium",45,2,48,"All","All",22.5,5.625
"Pune Warriors","Rahul Sharma","Sawai Mansingh Stadium",82,3,66,"All","All",27.3333333333333,7.45454545454546
"Pune Warriors","Rahul Sharma","Shaheed Veer Narayan Singh International Stadium",23,1,18,"All","All",23,7.66666666666667
"Pune Warriors","Rahul Sharma","Subrata Roy Sahara Stadium",273,13,228,"All","All",21,7.18421052631579
"Pune Warriors","Rahul Sharma","Wankhede Stadium",57,2,66,"All","All",28.5,5.18181818181818
"Pune Warriors","Raiphi Gomez","JSCA International Stadium Complex",5,0,6,"All","All",Inf,5
"Pune Warriors","Sachin Rana","Dr DY Patil Sports Academy",2,0,4,"All","All",Inf,3
"Pune Warriors","Shrikant Mundhe","Feroz Shah Kotla",6,1,6,"All","All",6,6
"Pune Warriors","Shrikant Wagh","Dr DY Patil Sports Academy",86,3,66,"All","All",28.6666666666667,7.81818181818182
"Pune Warriors","Shrikant Wagh","Punjab Cricket Association Stadium",18,0,12,"All","All",Inf,9
"Pune Warriors","Shrikant Wagh","Rajiv Gandhi International Stadium",8,0,6,"All","All",Inf,8
"Pune Warriors","Shrikant Wagh","Wankhede Stadium",9,1,12,"All","All",9,4.5
"Pune Warriors","Sourav Ganguly","Barabati Stadium",39,0,18,"All","All",Inf,13
"Pune Warriors","Sourav Ganguly","Feroz Shah Kotla",27,2,24,"All","All",13.5,6.75
"Pune Warriors","Sourav Ganguly","Subrata Roy Sahara Stadium",29,0,18,"All","All",Inf,9.66666666666667
"Pune Warriors","Steven Smith","Subrata Roy Sahara Stadium",5,0,2,"All","All",Inf,15
"Pune Warriors","Tirumalasetti Suman","Subrata Roy Sahara Stadium",15,1,12,"All","All",15,7.5
"Pune Warriors","Wayne Parnell","Barabati Stadium",25,1,24,"All","All",25,6.25
"Pune Warriors","Wayne Parnell","Dr DY Patil Sports Academy",135,6,104,"All","All",22.5,7.78846153846154
"Pune Warriors","Wayne Parnell","Eden Gardens",37,0,24,"All","All",Inf,9.25
"Pune Warriors","Wayne Parnell","JSCA International Stadium Complex",34,3,24,"All","All",11.3333333333333,8.5
"Pune Warriors","Wayne Parnell","Punjab Cricket Association Stadium",12,2,24,"All","All",6,3
"Pune Warriors","Wayne Parnell","Rajiv Gandhi International Stadium",38,1,24,"All","All",38,9.5
"Pune Warriors","Wayne Parnell","Sawai Mansingh Stadium",27,3,23,"All","All",9,7.04347826086957
"Pune Warriors","Wayne Parnell","Subrata Roy Sahara Stadium",124,4,102,"All","All",31,7.29411764705882
"Pune Warriors","Wayne Parnell","Wankhede Stadium",46,1,42,"All","All",46,6.57142857142857
"Pune Warriors","Yuvraj Singh","Dr DY Patil Sports Academy",112,7,96,"All","All",16,7
"Pune Warriors","Yuvraj Singh","Feroz Shah Kotla",8,0,6,"All","All",Inf,8
"Pune Warriors","Yuvraj Singh","JSCA International Stadium Complex",11,0,6,"All","All",Inf,11
"Pune Warriors","Yuvraj Singh","M Chinnaswamy Stadium",10,0,12,"All","All",Inf,5
"Pune Warriors","Yuvraj Singh","MA Chidambaram Stadium",14,0,12,"All","All",Inf,7
"Pune Warriors","Yuvraj Singh","Punjab Cricket Association Stadium",32,1,24,"All","All",32,8
"Pune Warriors","Yuvraj Singh","Rajiv Gandhi International Stadium",25,3,36,"All","All",8.33333333333333,4.16666666666667
"Pune Warriors","Yuvraj Singh","Sawai Mansingh Stadium",25,0,18,"All","All",Inf,8.33333333333333
"Pune Warriors","Yuvraj Singh","Shaheed Veer Narayan Singh International Stadium",9,0,12,"All","All",Inf,4.5
"Pune Warriors","Yuvraj Singh","Subrata Roy Sahara Stadium",80,3,66,"All","All",26.6666666666667,7.27272727272727
"Pune Warriors","Yuvraj Singh","Wankhede Stadium",18,1,18,"All","All",18,6
"Punjab Kings","Abhishek Nayar","Dr DY Patil Sports Academy",27,1,19,"All","All",27,8.52631578947368
