name,dob,batting_style,bowling_style,playing_role,country
Manvinder Bisla,27/12/1984,Right hand Bat,,Wicketkeeper,India
Kane Richardson,12/02/1991,Right hand Bat,Right arm Fast medium,Bowler,Australia
Suyash Prabhudessai,06/12/1997,Right hand Bat,Right arm Medium,Batting Allrounder,India
Ajantha Mendis,11/03/1985,Right hand Bat,Right arm Offbreak,Bowler,Sri Lanka
Nathu Singh,08/09/1995,Right hand Bat,Right arm Medium,Bowler,India
Ishan Malhotra,23/05/1984,Right hand Bat,Right arm Medium fast,Bowler,India
Balachandra Akhil,07/10/1977,Right hand Bat,Right arm Medium fast,Bowler,India
Sherfane Rutherford,15/08/1998,Left hand Bat,Right arm Fast medium,Middle order Batter,West Indies
Mithun Manhas,12/10/1979,Right hand Bat,Right arm Offbreak,Allrounder,India
Rajagopal Sathish,14/01/1981,Right hand Bat,Right arm Medium,Allrounder,India
Josh Philippe,01/06/1997,Right hand Bat,,Wicketkeeper Batter,Australia
Vidyut Sivaramakrishnan,03/12/1981,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,India
Doug Bollinger,24/07/1981,Left hand Bat,Left arm Fast medium,Bowler,Australia
Shrikant Wagh,09/10/1988,Left hand Bat,Left arm Medium fast,Allrounder,India
Ryan Ninan,19/11/1985,Right hand Bat,Right arm Offbreak,Allrounder,India
Yash Dayal,13/12/1997,Right hand Bat,Left arm Medium fast,Bowler,India
Raj Bawa,12/11/2002,Left hand Bat,Right arm Medium fast,Allrounder,India
KP Appanna,20/12/1988,Right hand Bat,Slow Left arm Orthodox,Bowler,India
Kyle Abbott,18/06/1987,Right hand Bat,Right arm Fast medium,Bowler,South Africa
Michael Hussey,27/05/1975,Left hand Bat,Right arm Medium,Middle order Batter,Australia
Mayank Markande,11/11/1997,Right hand Bat,Legbreak,Bowler,India
Ramesh Powar,20/05/1978,Right hand Bat,Right arm Offbreak,Bowler,India
Chidhambaram Gautam,08/03/1986,Right hand Bat,,Wicketkeeper,India
Abhijeet Tomar,14/03/1995,Right hand Bat,Right arm Offbreak,Opening Batter,India
Jagadeesha Suchith,16/01/1994,Left hand Bat,Slow Left arm Orthodox,Bowler,India
Pawan Suyal,15/10/1989,Right hand Bat,Left arm Medium,Bowler,India
Vikramjeet Malik,09/05/1983,Right hand Bat,Right arm Medium,Bowler,India
Bharat Chipli,27/01/1983,Right hand Bat,Right arm Medium,Batter,India
Mukesh Choudhary,06/07/1996,Left hand Bat,Left arm Medium,Bowler,India
Bhanuka Rajapaksa,24/10/1991,Left hand Bat,Right arm Medium,Top order Batter,Sri Lanka
Jason Roy,21/07/1990,Right hand Bat,,Opening Batter,England
Simarjeet Singh,17/01/1998,Right hand Bat,Right arm Medium fast,Bowler,India
Travis Birt,09/12/1981,Left hand Bat,Right arm Medium,Middle order Batter,Australia
Dwayne Bravo,07/10/1983,Right hand Bat,Right arm Medium,Allrounder,West Indies
Luke Wright,07/03/1985,Right hand Bat,Right arm Medium,Top order Batter,England
Swapnil Singh,22/01/1991,Right hand Bat,Slow Left arm Orthodox,Bowler,India
Moeen Ali,18/06/1987,Left hand Bat,Right arm Offbreak,Batting Allrounder,England
Pragyan Ojha,05/09/1986,Left hand Bat,Slow Left arm Orthodox,Bowler,India
Alfonso Thomas,09/02/1977,Right hand Bat,Right arm Fast medium,Bowler,South Africa
Andre Nel,15/07/1977,Right hand Bat,Right arm Fast medium,Bowler,South Africa
Ashton Turner,25/01/1993,Right hand Bat,Right arm Offbreak,Middle order Batter,Australia
KL Rahul,18/04/1992,Right hand Bat,,Wicketkeeper Batter,India
Dewald Brevis,29/04/2003,Right hand Bat,Legbreak,Batting Allrounder,South Africa
Jesse Ryder,06/08/1984,Left hand Bat,Right arm Medium,Allrounder,New Zealand
Ravichandran Ashwin,17/09/1986,Right hand Bat,Right arm Offbreak,Bowling Allrounder,India
Glenn Maxwell,14/10/1988,Right hand Bat,Right arm Offbreak,Batting Allrounder,Australia
Siddarth Kaul,19/05/1990,Right hand Bat,Right arm Medium,Bowler,India
Sachin Tendulkar,24/04/1973,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Top order Batter,India
Sourav Sarkar,15/12/1984,Right hand Bat,Right arm Medium,Bowler,India
Jitesh Sharma,22/10/1993,Right hand Bat,,Wicketkeeper Batter,India
Junior Dala,29/12/1989,Right hand Bat,Right arm Medium,Bowler,South Africa
Matthew Wade,26/12/1987,Left hand Bat,Right arm Medium,Wicketkeeper Batter,Australia
Riyan Parag,10/11/2001,Right hand Bat,Legbreak,Top order Batter,India
Bhuvneshwar Kumar,05/02/1990,Right hand Bat,Right arm Medium,Bowler,India
Richard Levi,14/01/1988,Right hand Bat,Right arm Medium,Opening Batter,South Africa
Darshan Nalkande,04/10/1998,Right hand Bat,Right arm Fast medium,Bowler,India
Prabhsimran Singh,10/08/2000,Right hand Bat,,Wicketkeeper Batter,India
Azhar Mahmood,28/02/1975,Right hand Bat,Right arm Fast medium,Bowling Allrounder,Pakistan
Luke Pomersbach,28/09/1984,Left hand Bat,Right arm Offbreak,Batter,Australia
Mahela Jayawardene,27/05/1977,Right hand Bat,Right arm Medium,Batter,Sri Lanka
Parvez Rasool,13/02/1989,Right hand Bat,Right arm Offbreak,Bowling Allrounder,India
Kamlesh Nagarkoti,28/12/1999,Right hand Bat,Right arm Fast,Bowler,India
Fidel Edwards,06/02/1982,Right hand Bat,Right arm Fast,Bowler,West Indies
Kuldeep Yadav,14/12/1994,Left hand Bat,Left arm Wrist spin,Bowler,India
Jhye Richardson,20/09/1996,Right hand Bat,Right arm Fast,Bowler,Australia
Damien Martyn,21/10/1971,Right hand Bat,Right arm Medium,Top order Batter,Australia
Nuwan Zoysa,13/05/1978,Left hand Bat,Left arm Fast medium,Bowler,Sri Lanka
Colin Ingram,03/07/1985,Left hand Bat,Legbreak,Top order Batter,South Africa
Josh Hazlewood,08/01/1991,Left hand Bat,Right arm Fast medium,Bowler,Australia
Evin Lewis,27/12/1991,Left hand Bat,,Opening Batter,West Indies
Aditya Dole,09/10/1987,Right hand Bat,Right arm Medium fast,Bowler,India
Ben Dunk,11/03/1987,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,Australia
Gurkeerat Singh Mann,29/06/1990,Right hand Bat,Right arm Offbreak,Middle order Batter,India
Tristan Stubbs,14/08/2000,Right hand Bat,Right arm Offbreak,Batter,South Africa
Suresh Raina,27/11/1986,Left hand Bat,Right arm Offbreak,Middle order Batter,India
Shaun Tait,22/02/1983,Right hand Bat,Right arm Fast,Bowler,Australia
Ashish Reddy,24/02/1991,Right hand Bat,Right arm Medium,Allrounder,India
Adam Gilchrist,14/11/1971,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,Australia
Ayush Badoni,03/12/1999,Right hand Bat,Right arm Offbreak,Batter,India
Andrew Flintoff,06/12/1977,Right hand Bat,Right arm Fast medium,Allrounder,England
Rusty Theron,24/07/1985,Right hand Bat,Right arm Medium fast,Bowler,U.S.A.
Yusuf Abdulla,17/01/1983,Left hand Bat,Left arm Fast medium,Bowler,South Africa
Siddhesh Lad,23/05/1992,Right hand Bat,Right arm Offbreak,Middle order Batter,India
Murali Kartik,11/09/1976,Left hand Bat,Slow Left arm Orthodox,Bowler,India
Paul Collingwood,26/05/1976,Right hand Bat,Right arm Medium,Allrounder,England
Glenn Phillips,06/12/1996,Right hand Bat,Right arm Offbreak,Allrounder,New Zealand
Peter Handscomb,26/04/1991,Right hand Bat,,Batter,Australia
Devdutt Padikkal,07/07/2000,Left hand Bat,Right arm Offbreak,Top order Batter,India
Rishabh Pant,04/10/1997,Left hand Bat,,Wicketkeeper Batter,India
Ankit Rajpoot,04/12/1993,Right hand Bat,Right arm Medium,Bowler,India
Ripal Patel,28/09/1995,Right hand Bat,Right arm Medium fast,Middle order Batter,India
Marcus Stoinis,16/08/1989,Right hand Bat,Right arm Medium,Batting Allrounder,Australia
Srikkanth Anirudha,14/04/1987,Right hand Bat,,Top order Batter,India
Jerome Taylor,22/06/1984,Right hand Bat,Right arm Fast,Bowler,West Indies
Hardus Viljoen,06/03/1989,Right hand Bat,Right arm Fast,Bowler,South Africa
Carlos Brathwaite,18/07/1988,Right hand Bat,Right arm Fast medium,Allrounder,West Indies
Keemo Paul,21/02/1998,Right hand Bat,Right arm Fast medium,Allrounder,West Indies
Karn Sharma,23/10/1987,Left hand Bat,Legbreak Googly,Bowler,India
Harpreet Brar,16/09/1995,Left hand Bat,Slow Left arm Orthodox,Bowler,India
Nikhil Naik,09/11/1994,Right hand Bat,,Wicketkeeper Batter,India
Hardik Pandya,11/10/1993,Right hand Bat,Right arm Medium fast,Allrounder,India
Ish Sodhi,31/10/1992,Right hand Bat,Legbreak,Bowler,New Zealand
Sanju Samson,11/11/1994,Right hand Bat,,Wicketkeeper Batter,India
Kumar Kartikeya,26/12/1997,Right hand Bat,"Slow Left arm Orthodox, Left arm Wrist spin",Bowler,India
Harshit Rana,22/12/2001,Right hand Bat,Right arm Fast,Bowler,India
Mitchell Starc,30/01/1990,Left hand Bat,Left arm Fast,Bowler,Australia
Mitchell Johnson,02/11/1981,Left hand Bat,Left arm Fast,Bowler,Australia
Jasprit Bumrah,06/12/1993,Right hand Bat,Right arm Fast,Bowler,India
Sheldon Jackson,27/09/1986,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,India
Chris Woakes,02/03/1989,Right hand Bat,Right arm Fast medium,Allrounder,England
Asad Pathan,17/06/1984,Right hand Bat,Right arm Medium,Bowler,India
Kuldeep Sen,22/10/1996,Right hand Bat,Right arm Fast,Bowler,India
Ryan ten Doeschate,30/06/1980,Right hand Bat,Right arm Medium fast,Allrounder,Netherlands
Ruturaj Gaikwad,31/01/1997,Right hand Bat,Right arm Offbreak,Batter,India
Mashrafe Mortaza,05/10/1983,Right hand Bat,Right arm Fast medium,Bowler,Bangladesh
Daren Sammy,20/12/1983,Right hand Bat,Right arm Medium,Allrounder,West Indies
Anukul Roy,30/11/1998,Left hand Bat,Slow Left arm Orthodox,Allrounder,India
Praveen Dubey,01/07/1993,Right hand Bat,Legbreak Googly,Bowler,India
Tabraiz Shamsi,18/02/1990,Right hand Bat,Left arm Wrist spin,Bowler,South Africa
Wriddhiman Saha,24/10/1984,Right hand Bat,,Wicketkeeper Batter,India
Ravindra Jadeja,06/12/1988,Left hand Bat,Slow Left arm Orthodox,Allrounder,India
Mohnish Mishra,09/02/1984,Right hand Bat,Right arm Offbreak,Batter,India
Aniket Choudhary,28/01/1990,Right hand Bat,Left arm Medium,Bowler,India
Ankit Sharma,20/04/1991,Left hand Bat,Slow Left arm Orthodox,Bowler,India
Karun Nair,06/12/1991,Right hand Bat,Right arm Offbreak,Top order Batter,India
Wasim Jaffer,16/02/1978,Right hand Bat,Right arm Offbreak,Top order Batter,India
Abhishek Raut,03/03/1987,Right hand Bat,Legbreak Googly,Allrounder,India
Shoaib Malik,01/02/1982,Right hand Bat,Right arm Offbreak,Allrounder,Pakistan
Nic Maddinson,21/12/1991,Left hand Bat,Slow Left arm Orthodox,Opening Batter,Australia
Shardul Thakur,16/10/1991,Right hand Bat,Right arm Medium,Bowler,India
Swapnil Asnodkar,29/03/1984,Right hand Bat,Right arm Offbreak,Batter,India
Sheldon Cottrell,19/08/1989,Right hand Bat,Left arm Fast medium,Bowler,West Indies
Unmukt Chand,26/03/1993,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,U.S.A.
Akshdeep Nath,10/05/1993,Right hand Bat,Right arm Medium fast,Middle order Batter,India
Ashley Noffke,30/04/1977,Right hand Bat,Right arm Fast medium,Allrounder,Australia
Paul Valthaty,07/12/1983,Right hand Bat,Right arm Medium,Batter,India
Ashok Menaria,29/10/1990,Left hand Bat,Slow Left arm Orthodox,Allrounder,India
Rinku Singh,12/10/1997,Left hand Bat,Right arm Offbreak,Middle order Batter,India
Steven Smith,02/06/1989,Right hand Bat,Legbreak Googly,Top order Batter,Australia
Krishnappa Gowtham,20/10/1988,Right hand Bat,Right arm Offbreak,Bowling Allrounder,India
Pravin Tambe,08/10/1971,Right hand Bat,Legbreak,Bowler,India
Mitchell McClenaghan,11/06/1986,Left hand Bat,Left arm Fast medium,Bowler,New Zealand
Aiden Markram,04/10/1994,Right hand Bat,Right arm Offbreak,Opening Batter,South Africa
Jeevan Mendis,15/01/1983,Left hand Bat,Legbreak,Allrounder,Sri Lanka
Parvinder Awana,19/07/1986,Right hand Bat,Right arm Medium,Bowler,India
Virat Singh,08/12/1997,Left hand Bat,Legbreak Googly,Top order Batter,India
Karan Goel,24/12/1986,Left hand Bat,Right arm Offbreak,Opening Batter,India
Kyle Jamieson,30/12/1994,Right hand Bat,Right arm Fast medium,Bowler,New Zealand
Graham Napier,06/01/1980,Right hand Bat,Right arm Medium,Bowling Allrounder,England
Prithvi Raj,20/02/1998,Left hand Bat,Left arm Medium,Bowler,India
Washington Sundar,05/10/1999,Left hand Bat,Right arm Offbreak,Bowling Allrounder,India
Sunny Sohal,10/11/1987,Right hand Bat,Legbreak,Batter,U.S.A.
Aaron Finch,17/11/1986,Right hand Bat,Slow Left arm Orthodox,Top order Batter,Australia
Herschelle Gibbs,23/02/1974,Right hand Bat,Right arm Bowler,Opening Batter,South Africa
Mitchell Santner,05/02/1992,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,New Zealand
Manprit Juneja,12/09/1990,Right hand Bat,Right arm Offbreak,Top order Batter,India
David Warner,27/10/1986,Left hand Bat,Legbreak,Opening Batter,Australia
Nitish Rana,27/12/1993,Left hand Bat,"Right arm Medium, Right arm Offbreak, Legbreak",Middle order Batter,India
Bipul Sharma,28/09/1983,Left hand Bat,Slow Left arm Orthodox,Allrounder,India
Dirk Nannes,16/05/1976,Right hand Bat,Left arm Fast,Bowler,Australia
Harry Gurney,25/10/1986,Right hand Bat,Left arm Fast medium,Bowler,England
Venugopal Rao,26/02/1982,Right hand Bat,Right arm Offbreak,Middle order Batter,India
Murali Vijay,01/04/1984,Right hand Bat,Right arm Offbreak,Opening Batter,India
Makhaya Ntini,06/07/1977,Right hand Bat,Right arm Fast,Bowler,South Africa
Ajinkya Rahane,06/06/1988,Right hand Bat,Right arm Medium,Top order Batter,India
Sudeep Tyagi,17/09/1987,Right hand Bat,Right arm Medium,Bowler,India
Love Ablish,03/12/1982,Right hand Bat,Right arm Medium fast,Bowler,India
Aakash Chopra,19/09/1977,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter,India
Moises Henriques,01/02/1987,Right hand Bat,Right arm Fast medium,Allrounder,Australia
Shimron Hetmyer,26/12/1996,Left hand Bat,,Top order Batter,West Indies
Gautam Gambhir,14/10/1981,Left hand Bat,Legbreak,Top order Batter,India
Pradeep Sangwan,05/11/1990,Right hand Bat,Left arm Medium,Bowler,India
Kedar Jadhav,26/03/1985,Right hand Bat,Right arm Offbreak,Batting Allrounder,India
Yusuf Pathan,17/11/1982,Right hand Bat,Right arm Offbreak,Allrounder,India
Prashant Solanki,22/02/2000,Right hand Bat,Legbreak,Bowler,India
Dishant Yagnik,22/06/1983,Left hand Bat,,Wicketkeeper,India
Matthew Hayden,29/10/1971,Left hand Bat,Right arm Medium,Opening Batter,Australia
Adam Voges,04/10/1979,Right hand Bat,Slow Left arm Orthodox,Top order Batter,Australia
Umesh Yadav,25/10/1987,Right hand Bat,Right arm Fast,Bowler,India
Callum Ferguson,21/11/1984,Right hand Bat,Right arm Medium,Middle order Batter,Australia
Kane Williamson,08/08/1990,Right hand Bat,Right arm Offbreak,Top order Batter,New Zealand
Ravi Rampaul,15/10/1984,Left hand Bat,Right arm Fast medium,Bowler,West Indies
Maheesh Theekshana,01/08/2000,Right hand Bat,Right arm Offbreak,Bowler,Sri Lanka
Aditya Tare,07/11/1987,Right hand Bat,,Wicketkeeper,India
Shreyas Iyer,06/12/1994,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Top order Batter,India
Dhruv Shorey,05/06/1992,Right hand Bat,Right arm Offbreak,Top order Batter,India
Rahul Dravid,11/01/1973,Right hand Bat,Right arm Offbreak,Top order Batter,India
Sai Sudharsan,15/10/2001,Left hand Bat,Legbreak,Top order Batter,India
Imran Tahir,27/03/1979,Right hand Bat,Legbreak Googly,Bowler,South Africa
Michael Neser,29/03/1990,Right hand Bat,Right arm Medium fast,Bowling Allrounder,Australia
Fabian Allen,07/05/1995,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder,West Indies
Chetan Sakariya,28/02/1998,Left hand Bat,Left arm Medium fast,Bowler,India
Ravi Bopara,04/05/1985,Right hand Bat,Right arm Medium,Batting Allrounder,England
Liam Plunkett,06/04/1985,Right hand Bat,Right arm Fast,Bowler,U.S.A.
Joginder Sharma,23/10/1983,Right hand Bat,Right arm Fast medium,Allrounder,India
David Willey,28/02/1990,Left hand Bat,Left arm Fast medium,Bowling Allrounder,England
Fazalhaq Farooqi,22/09/2000,Right hand Bat,Left arm Fast medium,Bowler,Afghanistan
Kagiso Rabada,25/05/1995,Left hand Bat,Right arm Fast,Bowler,South Africa
Harshal Patel,23/11/1990,Right hand Bat,Right arm Medium,Bowler,India
Kieron Pollard,12/05/1987,Right hand Bat,Right arm Medium,Batting Allrounder,West Indies
Muthiah Muralidaran,17/04/1972,Right hand Bat,Right arm Offbreak,Bowler,Sri Lanka
Obed McCoy,04/01/1997,Left hand Bat,Left arm Fast medium,Bowler,West Indies
Hrithik Shokeen,14/08/2000,Right hand Bat,Right arm Offbreak,Bowler,India
Sam Billings,15/06/1991,Right hand Bat,,Wicketkeeper Batter,England
Jayant Yadav,22/01/1990,Right hand Bat,Right arm Offbreak,Bowler,India
Kamran Akmal,13/01/1982,Right hand Bat,,Wicketkeeper Batter,Pakistan
James Pattinson,03/05/1990,Left hand Bat,Right arm Fast medium,Bowler,Australia
KM Asif,24/07/1993,Right hand Bat,Right arm Medium,Bowler,India
Marlon Samuels,05/02/1981,Right hand Bat,Right arm Offbreak,Top order Batter,West Indies
Kumar Sangakkara,27/10/1977,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,Sri Lanka
Srikar Bharat,03/10/1993,Right hand Bat,,Wicketkeeper Batter,India
Scott Boland,11/04/1989,Right hand Bat,Right arm Fast medium,Bowler,Australia
Mitchell Marsh,20/10/1991,Right hand Bat,Right arm Medium,Allrounder,Australia
Clint McKay,20/02/1983,Right hand Bat,Right arm Fast medium,Bowler,Australia
VVS Laxman,01/11/1974,Right hand Bat,Right arm Offbreak,Top order Batter,India
Dan Christian,04/05/1983,Right hand Bat,Right arm Fast medium,Allrounder,Australia
Tom Curran,12/03/1995,Right hand Bat,Right arm Fast medium,Allrounder,England
Stuart Binny,03/06/1984,Right hand Bat,Right arm Medium,Allrounder,India
Raju Bhatkal,01/09/1985,Right hand Bat,Right arm Medium,Allrounder,India
Dimitri Mascarenhas,30/10/1977,Right hand Bat,Right arm Fast medium,Allrounder,England
Tom Banton,11/11/1998,Right hand Bat,,Wicketkeeper Batter,England
Dwaine Pretorius,29/03/1989,Right hand Bat,Right arm Medium fast,Bowling Allrounder,South Africa
David Hussey,15/07/1977,Right hand Bat,Right arm Offbreak,Allrounder,Australia
Tejas Baroka,01/02/1996,Right hand Bat,Legbreak Googly,Bowler,India
Gurinder Sandhu,14/06/1993,Left hand Bat,Right arm Fast medium,Bowler,Australia
Uday Kaul,02/12/1987,Left hand Bat,,Wicketkeeper,India
Stephen Fleming,01/04/1973,Left hand Bat,,Top order Batter,New Zealand
Mujeeb Ur Rahman,28/03/2001,Right hand Bat,Right arm Offbreak,Bowler,Afghanistan
Vaibhav Arora,14/12/1997,Right hand Bat,Right arm Fast medium,Bowler,India
Barinder Sran,10/12/1992,Left hand Bat,Left arm Medium,Bowler,India
Adrian Barath,14/04/1990,Right hand Bat,Right arm Offbreak,Opening Batter,West Indies
Shakib Al Hasan,24/03/1987,Left hand Bat,Slow Left arm Orthodox,Allrounder,Bangladesh
Umar Gul,15/10/1982,Right hand Bat,Right arm Fast medium,Bowler,Pakistan
Shivam Mavi,26/11/1998,Right hand Bat,Right arm Fast medium,Bowler,India
Ricky Bhui,29/09/1996,Right hand Bat,Legbreak Googly,Top order Batter,India
Sachithra Senanayake,09/02/1985,Right hand Bat,Right arm Offbreak,Bowler,Sri Lanka
Lasith Malinga,28/08/1983,Right hand Bat,Right arm Fast,Bowler,Sri Lanka
Tim Southee,11/12/1988,Right hand Bat,Right arm Medium fast,Bowler,New Zealand
Daniel Vettori,27/01/1979,Left hand Bat,Slow Left arm Orthodox,Allrounder,New Zealand
Deepak Hooda,19/04/1995,Right hand Bat,Right arm Offbreak,Allrounder,India
Mayank Agarwal,16/02/1991,Right hand Bat,Right arm Offbreak,Batter,India
Taruwar Kohli,17/12/1988,Right hand Bat,Right arm Medium,Top order Batter,India
Michael Klinger,04/07/1980,Right hand Bat,,Batter,Australia
Colin de Grandhomme,22/07/1986,Right hand Bat,Right arm Medium fast,Allrounder,New Zealand
Piyush Chawla,24/12/1988,Left hand Bat,Legbreak,Bowling Allrounder,India
George Garton,15/04/1997,Left hand Bat,Left arm Fast,Bowling Allrounder,England
Shane Bond,07/06/1975,Right hand Bat,Right arm Fast,Bowler,New Zealand
Mark Boucher,03/12/1976,Right hand Bat,Right arm Medium,Wicketkeeper Batter,South Africa
Vishnu Vinod,02/12/1993,Right hand Bat,,Wicketkeeper Batter,India
Ben Rohrer,26/03/1981,Left hand Bat,,Middle order Batter,Australia
Nathan Rimmington,11/11/1982,Right hand Bat,Right arm Fast medium,Bowler,Australia
Sreesanth,06/02/1983,Right hand Bat,Right arm Fast medium,Bowler,India
Iqbal Abdulla,02/12/1989,Left hand Bat,Slow Left arm Orthodox,Allrounder,India
Reetinder Sodhi,18/10/1980,Right hand Bat,Right arm Medium,Allrounder,India
Morne Morkel,06/10/1984,Left hand Bat,Right arm Fast,Bowler,South Africa
Darren Lehmann,05/02/1970,Left hand Bat,Slow Left arm Orthodox,Top order Batter,Australia
Jason Behrendorff,20/04/1990,Right hand Bat,Left arm Fast medium,Bowler,Australia
John Hastings,04/11/1985,Right hand Bat,Right arm Fast medium,Allrounder,Australia
Dwaraka Ravi Teja,05/09/1987,Right hand Bat,Legbreak Googly,Batter,India
Andrew Symonds,09/06/1975,Right hand Bat,"Right arm Medium, Right arm Offbreak",Allrounder,Australia
Venkatesh Iyer,25/12/1994,Left hand Bat,Right arm Medium,Allrounder,India
Abdur Razzak,15/06/1982,Left hand Bat,Slow Left arm Orthodox,Bowler,Bangladesh
